#wlgth,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,mean,stdev
461.98,0.1078,0.0001,0.0845,0.0001,0.0887,0.0001,0.0789,5.11E-05,0.0796,0.0001,0.1345,0.0009,0.0957,0.0218
463.48,0.1083,0.0002,0.0853,9.83E-05,0.0895,0.0001,0.0791,7.17E-05,0.0798,0.0001,0.135,0.0009,0.0962,0.0218
464.99,0.1086,0.0001,0.0861,0.0001,0.0903,0.0001,0.0792,6.51E-05,0.0799,0.0001,0.1355,0.001,0.0966,0.0219
466.49,0.1087,0.0002,0.0869,0.0001,0.0911,0.0001,0.0794,5.78E-05,0.0799,0.0002,0.136,0.001,0.097,0.0219
467.99,0.109,0.0003,0.0878,9.53E-05,0.0918,0.0001,0.0797,7.33E-05,0.0802,0.0001,0.1366,0.001,0.0975,0.0219
469.5,0.109,0.0002,0.0886,0.0001,0.0925,0.0001,0.0801,4.65E-05,0.0807,0.0002,0.1373,0.0009,0.098,0.0219
471,0.1088,0.0003,0.0894,9.95E-05,0.0932,0.0001,0.0804,5.44E-05,0.081,0.0001,0.1377,0.001,0.0984,0.0218
472.5,0.1085,0.0003,0.0903,0.0001,0.0941,0.0001,0.0808,7.30E-05,0.0815,0.0001,0.138,0.001,0.0989,0.0217
474.01,0.1088,0.0002,0.0911,0.0002,0.095,0.0001,0.0815,4.13E-05,0.0822,0.0001,0.1381,0.0009,0.0994,0.0214
475.51,0.1101,0.0003,0.0917,0.0002,0.0958,0.0001,0.0821,8.13E-05,0.0829,8.64E-05,0.1384,0.001,0.1002,0.0213
477.02,0.1106,0.0002,0.0926,0.0001,0.0964,0.0001,0.0825,8.34E-05,0.0833,0.0001,0.1391,0.001,0.1007,0.0214
478.53,0.1103,0.0003,0.0935,0.0001,0.0972,0.0001,0.0827,7.43E-05,0.0835,0.0002,0.1395,0.0011,0.1011,0.0213
480.03,0.1101,0.0003,0.0944,0.0001,0.0981,0.0001,0.0832,5.66E-05,0.084,0.0002,0.14,0.001,0.1016,0.0213
481.54,0.1101,0.0003,0.0953,0.0001,0.0993,0.0001,0.0836,8.95E-05,0.0845,0.0001,0.1404,0.001,0.1022,0.0211
483.04,0.1105,0.0003,0.096,0.0002,0.1007,0.0001,0.0842,9.02E-05,0.0851,0.0001,0.1407,0.0011,0.1029,0.021
484.55,0.1113,0.0002,0.0968,0.0002,0.1018,0.0001,0.0846,4.31E-05,0.0854,0.0001,0.1414,0.001,0.1036,0.0211
486.06,0.1116,0.0003,0.0976,0.0001,0.1027,0.0002,0.0848,8.14E-05,0.0856,0.0001,0.1421,0.001,0.1041,0.0212
487.57,0.1117,0.0003,0.0986,0.0001,0.1035,9.01E-05,0.085,6.76E-05,0.0857,0.0001,0.1426,0.001,0.1045,0.0213
489.07,0.1119,0.0003,0.0995,0.0002,0.1046,0.0001,0.0852,4.21E-05,0.086,0.0001,0.143,0.001,0.105,0.0213
490.58,0.1123,0.0002,0.1006,0.0001,0.1054,0.0001,0.0857,8.48E-05,0.0862,9.74E-05,0.1436,0.001,0.1056,0.0214
492.09,0.1125,0.0003,0.1015,0.0001,0.1062,0.0001,0.0863,6.07E-05,0.0865,0.0002,0.1441,0.001,0.1062,0.0213
493.6,0.1124,0.0003,0.1026,0.0001,0.107,0.0001,0.087,6.52E-05,0.087,0.0001,0.1446,0.001,0.1068,0.0213
495.11,0.1123,0.0003,0.1036,0.0002,0.108,0.0001,0.0873,7.92E-05,0.0875,0.0001,0.1451,0.001,0.1073,0.0213
496.62,0.1122,0.0003,0.1047,0.0001,0.1092,0.0001,0.0875,9.26E-05,0.0881,0.0001,0.1456,0.0011,0.1079,0.0212
498.13,0.1124,0.0003,0.1056,0.0001,0.1104,8.15E-05,0.088,0.0001,0.0888,0.0001,0.146,0.001,0.1085,0.0212
499.64,0.1132,0.0002,0.1067,0.0001,0.1118,9.74E-05,0.0887,5.33E-05,0.0895,0.0001,0.1463,0.001,0.1093,0.021
501.15,0.1142,0.0002,0.1075,0.0001,0.1131,0.0001,0.0891,7.35E-05,0.09,0.0002,0.147,0.001,0.1102,0.0212
502.66,0.1146,0.0002,0.1086,0.0001,0.114,0.0002,0.0893,8.87E-05,0.0902,0.0001,0.1478,0.001,0.1108,0.0214
504.17,0.1147,0.0003,0.1099,0.0001,0.115,0.0002,0.0899,7.32E-05,0.0904,0.0002,0.1484,0.0011,0.1114,0.0214
505.68,0.1149,0.0002,0.1111,0.0002,0.1162,0.0002,0.0915,7.47E-05,0.0909,0.0001,0.149,0.0011,0.1123,0.0213
507.19,0.1151,0.0003,0.1124,0.0002,0.1176,0.0002,0.0926,4.20E-05,0.0914,0.0001,0.1497,0.001,0.1131,0.0212
508.7,0.115,0.0003,0.1137,0.0001,0.1188,0.0001,0.093,9.42E-05,0.092,0.0002,0.1502,0.0011,0.1138,0.0213
510.22,0.1152,0.0003,0.1149,0.0002,0.1201,0.0001,0.0932,0.0001,0.0927,0.0002,0.1509,0.0011,0.1145,0.0214
511.73,0.1155,0.0003,0.1162,0.0001,0.1216,0.0001,0.0935,8.26E-05,0.0935,0.0002,0.1516,0.0011,0.1153,0.0215
513.24,0.1157,0.0003,0.1175,0.0002,0.1231,0.0001,0.0935,0.0001,0.0943,0.0001,0.152,0.0011,0.116,0.0216
514.75,0.1163,0.0003,0.1188,0.0002,0.1248,0.0001,0.0944,8.82E-05,0.0949,0.0001,0.1527,0.0011,0.117,0.0216
516.27,0.1169,0.0003,0.1202,0.0002,0.1263,0.0001,0.0957,8.36E-05,0.0955,0.0002,0.1534,0.0011,0.118,0.0216
517.78,0.1172,0.0002,0.1216,0.0001,0.1277,8.24E-05,0.0972,7.88E-05,0.0961,0.0002,0.1542,0.0011,0.119,0.0216
519.3,0.1174,0.0002,0.1231,0.0001,0.1293,0.0001,0.0991,9.28E-05,0.0967,0.0001,0.1549,0.001,0.1201,0.0214
520.81,0.1176,0.0002,0.1246,0.0001,0.1309,9.53E-05,0.1012,8.54E-05,0.0973,0.0002,0.1557,0.0011,0.1212,0.0214
522.32,0.1177,0.0003,0.126,0.0002,0.1326,0.0001,0.1021,5.51E-05,0.098,0.0002,0.1562,0.0011,0.1221,0.0214
523.84,0.1182,0.0002,0.1274,0.0001,0.1346,0.0001,0.1037,8.57E-05,0.0987,0.0002,0.157,0.0011,0.1233,0.0214
525.35,0.1185,0.0003,0.129,0.0002,0.1364,0.0001,0.1056,8.87E-05,0.0993,0.0002,0.1578,0.0011,0.1244,0.0214
