#wlgth,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,mean,stdev
681.33,0.1771,0.0004,0.2648,0.0004,0.3198,0.0001,0.2546,0.0003,0.2569,0.0003,0.279,0.0017,0.2587,0.0466
682.87,0.1776,0.0005,0.2721,0.0004,0.3231,0.0001,0.2564,0.0003,0.2589,0.0004,0.2811,0.0017,0.2615,0.0477
684.41,0.1789,0.0005,0.2809,0.0004,0.3275,8.67E-05,0.2586,0.0003,0.2613,0.0004,0.2837,0.0018,0.2652,0.0489
685.96,0.1804,0.0004,0.2899,0.0005,0.3331,8.84E-05,0.261,0.0003,0.2637,0.0004,0.2861,0.0017,0.269,0.0506
687.5,0.1816,0.0004,0.2995,0.0005,0.3395,8.46E-05,0.2633,0.0003,0.266,0.0003,0.2884,0.0017,0.273,0.0527
689.04,0.1829,0.0003,0.3098,0.0005,0.3465,0.0001,0.2658,0.0004,0.2685,0.0003,0.2906,0.0017,0.2774,0.0551
690.58,0.184,0.0004,0.3207,0.0005,0.354,0.0001,0.2682,0.0003,0.2712,0.0003,0.2929,0.0018,0.2818,0.0578
692.13,0.1851,0.0004,0.3314,0.0005,0.3621,0.0001,0.2708,0.0003,0.2737,0.0003,0.2952,0.0018,0.2864,0.0608
693.67,0.1862,0.0003,0.3419,0.0006,0.3704,0.0001,0.2733,0.0003,0.2762,0.0003,0.2975,0.0019,0.2909,0.064
695.22,0.1873,0.0004,0.3528,0.0006,0.3789,8.43E-05,0.2758,0.0004,0.2787,0.0003,0.2999,0.0018,0.2955,0.0673
696.76,0.1883,0.0005,0.3637,0.0006,0.3872,0.0001,0.2782,0.0003,0.2812,0.0003,0.3025,0.0019,0.3002,0.0707
698.3,0.1895,0.0004,0.3743,0.0006,0.3958,0.0001,0.2808,0.0004,0.2836,0.0003,0.3049,0.0018,0.3048,0.0741
699.85,0.1907,0.0004,0.3839,0.0005,0.4042,0.0002,0.283,0.0004,0.2861,0.0002,0.3068,0.0017,0.3091,0.0773
701.39,0.1918,0.0003,0.3932,0.0006,0.4126,0.0001,0.2854,0.0004,0.2886,0.0003,0.3088,0.0018,0.3134,0.0805
702.94,0.193,0.0005,0.402,0.0006,0.4207,8.82E-05,0.2879,0.0003,0.2909,0.0004,0.3107,0.0018,0.3175,0.0836
704.48,0.194,0.0004,0.4102,0.0006,0.4289,7.58E-05,0.2902,0.0003,0.2934,0.0003,0.3125,0.0019,0.3215,0.0866
706.03,0.195,0.0006,0.4183,0.0006,0.4372,0.0001,0.2926,0.0003,0.2958,0.0003,0.3143,0.0019,0.3255,0.0897
707.57,0.1962,0.0004,0.4264,0.0005,0.4453,0.0001,0.295,0.0004,0.2983,0.0003,0.3162,0.0018,0.3296,0.0926
709.12,0.1971,0.0004,0.4341,0.0006,0.4533,0.0002,0.2975,0.0004,0.301,0.0004,0.3179,0.0019,0.3335,0.0956
710.66,0.1982,0.0004,0.4422,0.0005,0.4607,0.0001,0.3004,0.0003,0.3036,0.0004,0.3199,0.0018,0.3375,0.0984
712.21,0.1988,0.0005,0.4508,0.0006,0.4671,0.0002,0.3028,0.0004,0.3063,0.0003,0.3218,0.0018,0.3413,0.1012
713.76,0.1995,0.0005,0.4589,0.0007,0.4735,0.0001,0.305,0.0004,0.3085,0.0004,0.3242,0.0018,0.3449,0.1039
715.3,0.2009,0.0004,0.4656,0.0006,0.4805,0.0001,0.307,0.0004,0.3109,0.0004,0.3269,0.0018,0.3486,0.1063
716.85,0.2022,0.0005,0.4711,0.0007,0.488,0.0002,0.3095,0.0004,0.3134,0.0005,0.3293,0.0018,0.3522,0.1086
718.4,0.2037,0.0004,0.4776,0.0006,0.4941,0.0002,0.3122,0.0004,0.3162,0.0004,0.3311,0.0018,0.3558,0.1106
719.94,0.2042,0.0005,0.4841,0.0006,0.4998,0.0002,0.3145,0.0004,0.3185,0.0005,0.3333,0.0018,0.3591,0.1129
721.49,0.2054,0.0005,0.4894,0.0007,0.5059,0.0001,0.3169,0.0004,0.3209,0.0005,0.3356,0.0018,0.3623,0.1148
723.04,0.2067,0.0005,0.4946,0.0006,0.5121,0.0002,0.3197,0.0004,0.3236,0.0005,0.3379,0.0018,0.3658,0.1166
724.59,0.2077,0.0005,0.4997,0.0006,0.5176,0.0001,0.3221,0.0004,0.3262,0.0004,0.3402,0.0019,0.3689,0.1184
726.14,0.2087,0.0004,0.5043,0.0007,0.5229,0.0001,0.3245,0.0004,0.3284,0.0004,0.3423,0.0018,0.3719,0.12
727.68,0.2098,0.0005,0.5077,0.0006,0.5282,0.0001,0.3267,0.0004,0.331,0.0004,0.3443,0.0018,0.3746,0.1213
729.23,0.211,0.0004,0.5111,0.0006,0.5337,0.0002,0.3294,0.0004,0.3335,0.0004,0.3462,0.002,0.3775,0.1227
730.78,0.2119,0.0004,0.5149,0.0006,0.5384,0.0001,0.332,0.0003,0.3362,0.0004,0.3478,0.0018,0.3802,0.1239
732.33,0.2129,0.0004,0.5187,0.0005,0.5432,0.0001,0.3345,0.0004,0.3388,0.0004,0.3499,0.0018,0.383,0.1253
733.88,0.214,0.0004,0.5228,0.0005,0.5479,0.0002,0.3373,0.0004,0.3418,0.0004,0.352,0.0019,0.386,0.1265
735.43,0.2153,0.0003,0.5264,0.0005,0.5524,0.0002,0.3399,0.0004,0.3444,0.0005,0.3539,0.0019,0.3887,0.1276
736.98,0.2166,0.0005,0.53,0.0005,0.557,0.0002,0.3422,0.0004,0.3469,0.0005,0.356,0.0019,0.3914,0.1287
738.53,0.2179,0.0005,0.5331,0.0006,0.5608,0.0002,0.3448,0.0004,0.3494,0.0005,0.3578,0.002,0.394,0.1295
740.08,0.219,0.0003,0.536,0.0005,0.5643,0.0002,0.3474,0.0004,0.3522,0.0005,0.3599,0.0019,0.3965,0.1302
741.63,0.2202,0.0005,0.539,0.0005,0.5676,0.0002,0.35,0.0004,0.3549,0.0005,0.3621,0.002,0.399,0.1309
743.18,0.221,0.0005,0.5416,0.0005,0.5702,0.0002,0.352,0.0004,0.357,0.0004,0.3637,0.002,0.4009,0.1316
744.73,0.2219,0.0005,0.5442,0.0004,0.5729,0.0002,0.3541,0.0004,0.3592,0.0005,0.3647,0.0019,0.4028,0.1322
746.28,0.2224,0.0006,0.5465,0.0005,0.5761,0.0002,0.3565,0.0004,0.3615,0.0005,0.3663,0.0019,0.4049,0.1329
747.83,0.2233,0.0005,0.5484,0.0005,0.5793,0.0002,0.3592,0.0004,0.3643,0.0004,0.3675,0.0018,0.407,0.1335
749.38,0.2243,0.0005,0.5507,0.0004,0.5826,0.0002,0.3616,0.0004,0.3668,0.0005,0.3694,0.0019,0.4093,0.1341
750.93,0.2254,0.0005,0.5541,0.0005,0.5859,0.0002,0.3641,0.0004,0.3693,0.0005,0.371,0.0019,0.4116,0.135
752.48,0.2263,0.0004,0.5581,0.0005,0.5892,0.0002,0.3668,0.0004,0.3718,0.0007,0.3728,0.002,0.4141,0.1359
754.03,0.2272,0.0005,0.5648,0.0004,0.5911,0.0002,0.3703,0.0005,0.3752,0.0005,0.375,0.0019,0.4173,0.137
755.59,0.2274,0.0006,0.5757,0.0005,0.5887,0.0002,0.3725,0.0006,0.3776,0.0005,0.3779,0.0019,0.42,0.1383
757.14,0.2273,0.0008,0.5788,0.0005,0.5902,0.0002,0.3732,0.0005,0.3787,0.0005,0.3835,0.0018,0.4219,0.139
758.69,0.23,0.0007,0.578,0.0005,0.5918,0.0003,0.375,0.0004,0.3805,0.0004,0.387,0.0019,0.4237,0.138
760.24,0.2319,0.0007,0.5759,0.0004,0.5949,0.0002,0.3765,0.0004,0.3821,0.0006,0.39,0.002,0.4252,0.1374
761.79,0.2334,0.0006,0.5742,0.0003,0.5994,0.0002,0.3789,0.0005,0.3845,0.0006,0.3911,0.002,0.4269,0.1373
763.35,0.2347,0.0006,0.5737,0.0005,0.6037,0.0002,0.3816,0.0005,0.3871,0.0006,0.392,0.002,0.4288,0.1376
764.9,0.2359,0.0003,0.5762,0.0005,0.6081,0.0003,0.3844,0.0005,0.3901,0.0004,0.3933,0.0019,0.4313,0.1384
766.45,0.2365,0.0004,0.5789,0.0005,0.6113,0.0003,0.3869,0.0005,0.3926,0.0007,0.3944,0.002,0.4334,0.1393
768.01,0.2376,0.0006,0.5819,0.0004,0.6138,0.0003,0.3893,0.0005,0.3948,0.0006,0.396,0.002,0.4356,0.1398
769.56,0.2382,0.0006,0.5854,0.0005,0.6159,0.0002,0.3917,0.0005,0.3976,0.0006,0.3977,0.0019,0.4377,0.1405
771.11,0.2394,0.0006,0.589,0.0004,0.6184,0.0002,0.3945,0.0004,0.4003,0.0005,0.4001,0.0021,0.4403,0.1411
772.67,0.2403,0.0008,0.5914,0.0004,0.6202,0.0002,0.3966,0.0004,0.4027,0.0007,0.4016,0.002,0.4421,0.1414
774.22,0.2414,0.0005,0.594,0.0004,0.6224,0.0003,0.3991,0.0005,0.405,0.0006,0.4037,0.0021,0.4443,0.1418
775.78,0.2425,0.0006,0.5964,0.0005,0.6249,0.0002,0.4012,0.0005,0.4075,0.0006,0.4056,0.0021,0.4463,0.1422
777.33,0.2437,0.0004,0.5984,0.0004,0.6271,0.0003,0.4034,0.0006,0.4096,0.0005,0.4075,0.002,0.4483,0.1425
778.88,0.2448,0.0006,0.6012,0.0004,0.6296,0.0003,0.406,0.0005,0.4121,0.0006,0.4097,0.0021,0.4506,0.143
780.44,0.2458,0.0006,0.6035,0.0005,0.6319,0.0002,0.4083,0.0006,0.4146,0.0007,0.4113,0.0019,0.4525,0.1434
781.99,0.2467,0.0006,0.606,0.0006,0.6341,0.0003,0.4106,0.0005,0.4171,0.0006,0.4131,0.0021,0.4546,0.1438
783.55,0.2479,0.0005,0.6076,0.0005,0.6358,0.0002,0.4129,0.0006,0.4192,0.0006,0.4149,0.002,0.4564,0.1439
785.1,0.249,0.0005,0.6104,0.0006,0.6384,0.0001,0.4153,0.0006,0.4219,0.0007,0.4173,0.002,0.4587,0.1444
786.66,0.2497,0.0006,0.6125,0.0005,0.6406,0.0003,0.4173,0.0005,0.4235,0.0005,0.4193,0.0021,0.4605,0.1449
788.22,0.2512,0.0007,0.6148,0.0005,0.643,0.0002,0.4195,0.0005,0.4257,0.0007,0.4216,0.0021,0.4626,0.1451
789.77,0.2519,0.0007,0.6164,0.0006,0.6449,0.0002,0.4215,0.0005,0.4279,0.0005,0.4235,0.0022,0.4643,0.1454
791.33,0.2532,0.0009,0.6185,0.0005,0.6472,0.0002,0.4238,0.0005,0.4305,0.0006,0.4255,0.0021,0.4665,0.1456
792.88,0.2542,0.0004,0.621,0.0005,0.6498,0.0003,0.4261,0.0005,0.4329,0.0007,0.4277,0.0021,0.4686,0.1462
794.44,0.2552,0.0005,0.6229,0.0006,0.6521,0.0002,0.4283,0.0006,0.4351,0.0006,0.4296,0.0021,0.4705,0.1465
796,0.2564,0.0008,0.6252,0.0005,0.6543,0.0002,0.4306,0.0005,0.4374,0.0005,0.4315,0.0021,0.4726,0.1468
797.55,0.2576,0.0006,0.6274,0.0005,0.6565,0.0003,0.4328,0.0007,0.4397,0.0007,0.4333,0.0022,0.4746,0.1471
799.11,0.2586,0.0006,0.6295,0.0005,0.6591,0.0003,0.4354,0.0006,0.4418,0.0006,0.4349,0.0022,0.4766,0.1475
800.67,0.2596,0.0004,0.631,0.0005,0.661,0.0003,0.4372,0.0006,0.444,0.0006,0.4363,0.0021,0.4782,0.1478
802.22,0.2606,0.0005,0.6325,0.0005,0.663,0.0003,0.4392,0.0005,0.4457,0.0008,0.4377,0.0021,0.4798,0.148
803.78,0.2621,0.0006,0.6348,0.0005,0.6656,0.0003,0.4415,0.0006,0.448,0.0005,0.4393,0.0023,0.4819,0.1483
805.34,0.2631,0.0007,0.6372,0.0006,0.6678,0.0002,0.4434,0.0007,0.45,0.0007,0.441,0.0021,0.4837,0.1488
806.9,0.2639,0.0005,0.6395,0.0006,0.6701,0.0002,0.4457,0.0006,0.4523,0.0006,0.4429,0.0021,0.4857,0.1493
808.45,0.2643,0.0006,0.6423,0.0004,0.6714,0.0004,0.4479,0.0006,0.4549,0.0006,0.4445,0.002,0.4875,0.1497
810.01,0.2655,0.0006,0.6461,0.0006,0.6728,0.0003,0.45,0.0005,0.4568,0.0007,0.4469,0.0022,0.4897,0.1502
811.57,0.2664,0.0008,0.6484,0.0007,0.6733,0.0004,0.4518,0.0006,0.4586,0.0008,0.4496,0.002,0.4913,0.1501
813.13,0.2678,0.001,0.6494,0.0007,0.6749,0.0004,0.4535,0.0007,0.4605,0.0006,0.4522,0.002,0.4931,0.15
814.69,0.269,0.0007,0.6503,0.0007,0.677,0.0003,0.455,0.0006,0.4623,0.0007,0.4545,0.0019,0.4947,0.1501
816.25,0.2704,0.0007,0.6502,0.0006,0.6793,0.0004,0.4567,0.0006,0.4637,0.0007,0.4561,0.0022,0.4961,0.15
817.81,0.2717,0.0005,0.6528,0.0007,0.6806,0.0003,0.4594,0.0006,0.4667,0.0005,0.458,0.002,0.4982,0.1501
819.36,0.2725,0.0008,0.6544,0.0006,0.6818,0.0003,0.4607,0.0007,0.4681,0.0006,0.4608,0.002,0.4997,0.1502
820.92,0.274,0.0007,0.6546,0.0007,0.685,0.0003,0.463,0.0006,0.4704,0.0007,0.4632,0.0021,0.5017,0.1502
822.48,0.275,0.0008,0.6558,0.0006,0.6869,0.0004,0.4654,0.0007,0.4727,0.0006,0.4649,0.0022,0.5034,0.1503
824.04,0.2761,0.0007,0.6585,0.0006,0.6886,0.0002,0.4675,0.0006,0.475,0.0005,0.467,0.002,0.5054,0.1506
825.6,0.2769,0.0005,0.6596,0.0008,0.6895,0.0003,0.4689,0.0006,0.4764,0.0007,0.4689,0.002,0.5067,0.1506
827.16,0.2781,0.0007,0.6612,0.0005,0.6911,0.0003,0.4714,0.0006,0.4788,0.0006,0.4711,0.002,0.5086,0.1506
828.72,0.2797,0.0008,0.6627,0.0007,0.6929,0.0003,0.473,0.0007,0.4807,0.0005,0.4734,0.0021,0.5104,0.1506
830.28,0.2807,0.0006,0.6637,0.0007,0.6949,0.0004,0.4753,0.0007,0.4824,0.0008,0.4755,0.0023,0.5121,0.1507
831.84,0.282,0.0007,0.6641,0.0006,0.6965,0.0003,0.4768,0.0006,0.4842,0.0007,0.4769,0.0022,0.5134,0.1505
833.4,0.2831,0.0006,0.666,0.0005,0.6984,0.0003,0.4792,0.0007,0.4864,0.0007,0.4791,0.0023,0.5154,0.1507
834.96,0.2846,0.0006,0.6676,0.0004,0.6999,0.0003,0.4812,0.0006,0.4884,0.0008,0.4806,0.0022,0.5171,0.1507
836.52,0.2854,0.0005,0.6688,0.0005,0.7014,0.0002,0.4828,0.0006,0.4904,0.0006,0.4821,0.0023,0.5185,0.1509
838.09,0.2865,0.0007,0.6707,0.0005,0.7035,0.0003,0.4848,0.0006,0.4924,0.0007,0.484,0.0019,0.5203,0.1511
839.65,0.2873,0.001,0.6718,0.0005,0.7053,0.0003,0.4866,0.0006,0.494,0.0005,0.4859,0.0023,0.5218,0.1513
841.21,0.2888,0.0008,0.6735,0.0004,0.7069,0.0003,0.4884,0.0005,0.496,0.0007,0.4875,0.0022,0.5235,0.1513
842.77,0.2901,0.0007,0.6754,0.0005,0.709,0.0003,0.4906,0.0006,0.4985,0.0007,0.4892,0.0023,0.5255,0.1515
844.33,0.2906,0.0007,0.6771,0.0004,0.7105,0.0004,0.4924,0.0007,0.5,0.0007,0.4904,0.0021,0.5268,0.1519
845.89,0.2918,0.0006,0.6787,0.0005,0.7116,0.0002,0.4939,0.0006,0.5016,0.0007,0.4921,0.0023,0.5283,0.1519
847.45,0.2926,0.0008,0.6805,0.0005,0.7128,0.0004,0.4955,0.0006,0.5029,0.0008,0.4941,0.0021,0.5297,0.1521
849.02,0.2939,0.0008,0.6822,0.0006,0.7143,0.0003,0.4974,0.0006,0.5054,0.0005,0.4964,0.0021,0.5316,0.1521
850.58,0.2948,0.0009,0.684,0.0004,0.7151,0.0003,0.4988,0.0006,0.5065,0.0007,0.4987,0.0021,0.533,0.1521
852.14,0.2959,0.0007,0.6839,0.0004,0.7167,0.0004,0.4999,0.0005,0.508,0.0006,0.5005,0.0021,0.5341,0.152
853.7,0.2975,0.0006,0.6854,0.0005,0.7188,0.0003,0.5023,0.0006,0.5102,0.0008,0.5023,0.002,0.5361,0.152
855.27,0.2987,0.001,0.6862,0.0006,0.7201,0.0003,0.5036,0.0006,0.5115,0.0008,0.5036,0.0024,0.5373,0.152
856.83,0.2997,0.0008,0.6881,0.0005,0.7215,0.0003,0.5054,0.0006,0.5135,0.0006,0.5053,0.0023,0.5389,0.1522
858.39,0.3004,0.0009,0.69,0.0006,0.7238,0.0003,0.5074,0.0006,0.5156,0.0009,0.5077,0.0022,0.5408,0.1526
859.96,0.3017,0.0006,0.6917,0.0004,0.7256,0.0002,0.5095,0.0006,0.5175,0.0008,0.5095,0.0024,0.5426,0.1527
861.52,0.3023,0.0009,0.6931,0.0006,0.7255,0.0003,0.5111,0.0005,0.5189,0.0005,0.5105,0.002,0.5435,0.1526
863.08,0.3034,0.0008,0.6946,0.0005,0.7266,0.0005,0.5118,0.0006,0.5196,0.0009,0.5124,0.0023,0.5448,0.1527
864.65,0.3045,0.001,0.6952,0.0005,0.7279,0.0003,0.5136,0.0008,0.5216,0.0008,0.5147,0.0023,0.5463,0.1525
866.21,0.3062,0.0007,0.6965,0.0005,0.7301,0.0005,0.5154,0.0006,0.5233,0.001,0.5164,0.0022,0.548,0.1525
867.77,0.3071,0.0008,0.6979,0.0005,0.731,0.0002,0.5171,0.0006,0.5248,0.0007,0.5183,0.0021,0.5494,0.1525
869.34,0.3083,0.0009,0.6991,0.0004,0.7325,0.0003,0.5189,0.0006,0.5265,0.0008,0.5199,0.0022,0.5509,0.1525
870.9,0.3093,0.0008,0.6994,0.0004,0.7334,0.0005,0.5201,0.0006,0.5278,0.0008,0.5214,0.0022,0.5519,0.1524
872.47,0.3102,0.0007,0.7003,0.0004,0.7336,0.0005,0.5213,0.0007,0.529,0.0009,0.5226,0.0024,0.5528,0.1522
874.03,0.3116,0.0008,0.7025,0.0004,0.7359,0.0005,0.5231,0.0007,0.5317,0.0009,0.5247,0.0021,0.5549,0.1524
875.59,0.3126,0.0007,0.7036,0.0006,0.7377,0.0003,0.5244,0.0006,0.5328,0.001,0.526,0.0023,0.5562,0.1526
877.16,0.3133,0.0008,0.7052,0.0005,0.7386,0.0003,0.5257,0.0005,0.5343,0.0006,0.5279,0.0021,0.5575,0.1527
878.72,0.3148,0.0009,0.7067,0.0006,0.7396,0.0004,0.5272,0.0007,0.535,0.0011,0.5297,0.0022,0.5588,0.1526
880.29,0.3159,0.0007,0.7074,0.0004,0.7409,0.0003,0.5289,0.0006,0.5371,0.0009,0.5312,0.0024,0.5602,0.1526
881.85,0.317,0.0011,0.7076,0.0005,0.7416,0.0003,0.5301,0.0007,0.538,0.0009,0.5323,0.0021,0.5611,0.1523
883.42,0.3178,0.0008,0.7085,0.0005,0.7422,0.0005,0.5317,0.0009,0.54,0.001,0.5342,0.0023,0.5624,0.1522
884.98,0.3191,0.0005,0.7095,0.0003,0.7432,0.0005,0.5328,0.0007,0.5413,0.0008,0.5356,0.0024,0.5636,0.152
886.55,0.3204,0.0005,0.7103,0.0006,0.7446,0.0006,0.5338,0.0008,0.5423,0.0008,0.5363,0.0024,0.5646,0.152
888.11,0.321,0.0008,0.7118,0.0005,0.746,0.0002,0.535,0.0007,0.5437,0.0008,0.5377,0.002,0.5659,0.1523
889.68,0.3214,0.0009,0.7126,0.0005,0.7466,0.0005,0.536,0.0008,0.5443,0.0008,0.5385,0.0022,0.5666,0.1524
891.25,0.3221,0.0008,0.7142,0.0004,0.7461,0.0005,0.5371,0.0008,0.5458,0.0011,0.5386,0.0017,0.5673,0.1522
892.81,0.3229,0.0008,0.7157,0.0004,0.7458,0.0006,0.5377,0.0008,0.5467,0.0006,0.5399,0.0021,0.5681,0.1521
894.38,0.324,0.0007,0.7175,0.001,0.7461,0.0006,0.5393,0.0007,0.5477,0.001,0.5419,0.0021,0.5694,0.152
895.94,0.3242,0.0011,0.7173,0.0009,0.7452,0.0007,0.5394,0.0008,0.5468,0.0007,0.5441,0.0021,0.5695,0.1516
897.51,0.3261,0.001,0.7156,0.0002,0.7453,0.0005,0.5399,0.0008,0.5478,0.0009,0.5465,0.0023,0.5702,0.1506
899.08,0.3274,0.0011,0.7151,0.0004,0.7468,0.0006,0.5406,0.0009,0.5494,0.0009,0.5488,0.0022,0.5714,0.1503
900.64,0.3285,0.0006,0.7142,0.0008,0.7484,0.0008,0.542,0.0007,0.5502,0.001,0.5492,0.0019,0.5721,0.15
902.21,0.3299,0.0011,0.7162,0.001,0.7479,0.0006,0.5432,0.0008,0.5514,0.0007,0.5502,0.0023,0.5731,0.1497
903.78,0.3307,0.0008,0.7174,0.001,0.7477,0.0007,0.5443,0.0007,0.5527,0.0006,0.5505,0.002,0.5739,0.1495
905.34,0.3313,0.0008,0.7182,0.0009,0.7472,0.0008,0.5442,0.0008,0.5522,0.0009,0.5525,0.0016,0.5743,0.1494
906.91,0.3321,0.0015,0.7166,0.0007,0.7471,0.0008,0.5453,0.0008,0.5535,0.0005,0.5539,0.0019,0.5747,0.1486
908.48,0.3326,0.0012,0.7164,0.0006,0.7464,0.0009,0.5464,0.0011,0.5554,0.0003,0.5555,0.0023,0.5755,0.1481
910.05,0.3339,0.0013,0.7158,0.0005,0.7457,0.0012,0.5468,0.001,0.5554,0.0007,0.5566,0.0023,0.5757,0.1474
911.61,0.3347,0.0008,0.7162,0.0005,0.7466,0.0012,0.5479,0.001,0.5563,0.0013,0.558,0.0017,0.5766,0.1473
913.18,0.3357,0.0013,0.7144,0.0003,0.7481,0.0007,0.5488,0.0009,0.5571,0.0011,0.5606,0.0025,0.5774,0.1469
914.75,0.3367,0.0011,0.7137,0.0008,0.7484,0.0007,0.549,0.0005,0.5578,0.0005,0.562,0.0018,0.5779,0.1464
916.32,0.3393,0.0011,0.7159,0.0007,0.7492,0.0016,0.5512,0.0006,0.5595,0.0011,0.5639,0.0022,0.5798,0.146
917.89,0.3401,0.0012,0.7164,0.0011,0.749,0.0024,0.5518,0.0009,0.5601,0.0011,0.5645,0.0023,0.5803,0.1457
919.45,0.3397,0.0009,0.7174,0.0012,0.7459,0.0023,0.5521,0.0011,0.5615,0.0007,0.5636,0.002,0.58,0.1453
921.02,0.3414,0.0015,0.7188,0.0012,0.7462,0.0022,0.5534,0.0008,0.5621,0.0009,0.5654,0.0025,0.5812,0.1449
922.59,0.3417,0.0014,0.7194,0.0018,0.7478,0.0019,0.5544,0.0008,0.5625,0.0015,0.5653,0.0021,0.5819,0.1453
924.16,0.3429,0.0009,0.7217,0.0018,0.7476,0.0026,0.5545,0.0009,0.5638,0.0015,0.5649,0.0019,0.5826,0.1452
925.73,0.3439,0.0021,0.721,0.0018,0.7461,0.0033,0.5532,0.001,0.5618,0.0009,0.5624,0.0022,0.5814,0.1446
927.3,0.3403,0.0011,0.7219,0.0015,0.744,0.0043,0.5512,0.001,0.5595,0.0008,0.5601,0.0019,0.5795,0.1457
928.86,0.338,0.0029,0.7189,0.0013,0.735,0.0046,0.5476,0.0018,0.556,0.0012,0.5553,0.0025,0.5751,0.1442
930.43,0.3365,0.0014,0.7162,0.0006,0.7315,0.0051,0.5438,0.0008,0.5517,0.0016,0.5556,0.0015,0.5726,0.1437
932,0.3355,0.002,0.7064,0.0022,0.7262,0.0032,0.5407,0.0008,0.5514,0.0025,0.5572,0.0022,0.5696,0.141
933.57,0.3405,0.0013,0.7028,0.0014,0.7218,0.0036,0.5397,0.0009,0.5484,0.001,0.5576,0.0027,0.5685,0.1377
935.14,0.3417,0.0017,0.6979,0.0006,0.7273,0.003,0.5424,0.0013,0.5473,0.0024,0.5637,0.0017,0.57,0.1375
936.71,0.3445,0.0014,0.6965,0.0011,0.7255,0.0036,0.5439,0.0015,0.5564,0.0012,0.5664,0.0018,0.5722,0.1356
938.28,0.3438,0.0023,0.689,0.0022,0.7241,0.0037,0.5436,0.0013,0.553,0.0019,0.5632,0.0015,0.5694,0.1342
939.85,0.3441,0.002,0.6863,0.002,0.7195,0.0027,0.5415,0.0017,0.5497,0.0018,0.5633,0.0014,0.5674,0.1328
941.42,0.3444,0.0018,0.6814,0.0014,0.7143,0.0016,0.5399,0.0017,0.5465,0.0026,0.5608,0.002,0.5645,0.1308
942.99,0.3473,0.0026,0.6777,0.0009,0.7119,0.0017,0.541,0.0012,0.5518,0.0025,0.5647,0.0026,0.5657,0.1284
944.56,0.3472,0.0021,0.6748,0.0017,0.7125,0.0024,0.5413,0.0011,0.5516,0.0016,0.5681,0.0026,0.5659,0.1281
946.13,0.3464,0.0012,0.6717,0.0021,0.7095,0.0016,0.5417,0.0009,0.5516,0.0006,0.5669,0.002,0.5646,0.1271
947.7,0.3475,0.0026,0.6675,0.002,0.7074,0.002,0.5409,0.0009,0.5485,0.0021,0.5665,0.0017,0.563,0.1256
949.27,0.347,0.0019,0.6633,0.0012,0.7057,0.002,0.5423,0.0016,0.5513,0.0016,0.5677,2.79E-09,0.5629,0.1246
950.84,0.3491,0.0026,0.6604,0.0015,0.7036,0.0012,0.5425,0.0008,0.5515,0.0015,0.5687,0.0022,0.5626,0.123
952.41,0.3503,0.0022,0.6588,0.0021,0.7022,0.0017,0.5421,0.0017,0.5519,0.0016,0.5716,0.0017,0.5628,0.122
953.98,0.3541,0.0036,0.6517,0.0014,0.7031,0.0012,0.5441,0.0013,0.5528,0.0009,0.5753,0.0031,0.5635,0.1198
955.55,0.352,0.0032,0.6484,0.0024,0.6955,0.0021,0.5434,0.0018,0.5531,0.0007,0.574,0.0019,0.5611,0.1183
957.12,0.3552,0.0038,0.6491,0.0011,0.6963,0.0017,0.5473,0.0012,0.556,0.001,0.577,0.0032,0.5635,0.1173
958.69,0.3528,0.0015,0.6471,0.0015,0.6952,0.0018,0.549,0.0017,0.5548,0.0012,0.576,0.0017,0.5625,0.1176
960.26,0.3572,0.0027,0.6455,0.0013,0.6986,0.0017,0.5493,0.0009,0.555,0.003,0.5781,0.0011,0.564,0.1166
961.83,0.357,0.0019,0.6434,0.0013,0.6959,0.0022,0.5502,0.0021,0.5561,0.001,0.5804,0.0027,0.5638,0.1158
963.41,0.3565,0.0018,0.6439,0.0013,0.697,0.0016,0.5517,0.0007,0.5613,0.0019,0.586,0.0023,0.5661,0.1164
964.98,0.3636,0.0023,0.6405,0.0011,0.7011,0.002,0.5556,0.0005,0.5635,0.0014,0.5866,0.0024,0.5685,0.1143
966.55,0.3604,0.0007,0.6424,0.002,0.7032,0.0017,0.5569,0.001,0.5655,0.0009,0.5868,0.0027,0.5692,0.1161
968.12,0.3593,0.0028,0.6429,0.0015,0.7021,0.0013,0.5579,0.0011,0.5655,0.002,0.5866,0.0018,0.569,0.1163
969.69,0.3637,0.0023,0.6436,0.0008,0.7017,0.0015,0.5576,0.0017,0.5661,0.0018,0.5887,0.0019,0.5702,0.1147
971.26,0.366,0.0038,0.6412,0.0014,0.6997,0.0007,0.5561,0.001,0.5647,0.0015,0.5877,0.0013,0.5692,0.1132
972.84,0.3648,0.0033,0.6392,0.0009,0.6978,0.0012,0.5552,0.0014,0.5658,0.0019,0.5885,0.0016,0.5685,0.113
974.41,0.3629,0.0033,0.6374,0.001,0.6978,0.0026,0.5541,0.0002,0.5636,0.0023,0.5893,0.0018,0.5675,0.1135
975.98,0.3652,0.0022,0.6422,0.0012,0.7011,0.0016,0.558,0.0015,0.5644,0.0015,0.5916,0.0013,0.5704,0.114
977.55,0.3688,0.0021,0.6421,0.0009,0.7009,0.0016,0.5589,0.0009,0.5657,0.0016,0.5939,0.0005,0.5717,0.1127
