         134227839 function calls (133581560 primitive calls) in 566.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   199816    1.513    0.000    2.371    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:123(calc_ETR)
  1302901    1.473    0.000    4.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
   712672    1.452    0.000    3.770    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
      985    1.329    0.001  304.396    0.309 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:85(tbm)
  1304006    1.072    0.000    2.440    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
  1304006    1.022    0.000    1.368    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1674(internal_values)
   501700    0.969    0.000    3.529    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2111(sum)
    80008    0.946    0.000    0.946    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:232(define_geometric_constant)
    26304    0.941    0.000   18.347    0.001 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:240(BRF_hemi_func)
  2477856    0.865    0.000    0.865    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:282(tupleset)
   210441    0.761    0.000    0.761    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:618(CIxy)
   199816    0.749    0.000    1.100    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:300(peaked_arrh)
    99908    0.746    0.000    3.012    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\hydraulics.py:103(calc_hy_f)
   501700    0.730    0.000    4.977    0.000 <__array_function__ internals>:2(sum)
    26304    0.728    0.000   16.793    0.001 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:291(BRF_dif_func)
  3222240    0.697    0.000    3.372    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:715(copy)
   210436    0.629    0.000    0.944    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:24(atleast_1d)
   161112    0.627    0.000    0.627    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  1302916    0.607    0.000    0.607    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  1302916    0.561    0.000    0.561    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:2130(is_floating)
   210432    0.542    0.000    2.620    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:286(hstack)
  1464035    0.521    0.000    0.521    0.000 {built-in method builtins.min}
  1302931    0.519    0.000    0.652    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
   199816    0.502    0.000   24.609    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:650(brentq)
   402456    0.489    0.000    1.212    0.000 <__array_function__ internals>:2(copyto)
   712672    0.482    0.000    0.482    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
   105216    0.476    0.000    0.961    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
    26304    0.472    0.000    0.533    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:426(rtm_t)
    26379    0.469    0.000    0.469    0.000 {built-in method builtins.sum}
   199816    0.466    0.000    1.245    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:256(calc_michaelis_menten_constants)
   360400    0.440    0.000    4.723    0.000 <__array_function__ internals>:2(diff)
  1304013    0.416    0.000    0.563    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:346(apply_if_callable)
  5274706    0.416    0.000    0.416    0.000 {built-in method builtins.abs}
    99894    0.410    0.000    0.439    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\hydraulics.py:58(calc_soil_moisture)
   210531    0.390    0.000    1.663    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2617(amax)
  1305120    0.346    0.000    0.346    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1619(_block)
   965218    0.345    0.000    0.345    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   107428    0.327    0.000    0.801    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:288(full)
   886865    0.327    0.000    0.560    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:110(asanyarray)
  3222240    0.324    0.000    0.324    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:711(_copy_dispatcher)
  2301376    0.319    0.000    0.325    0.000 {built-in method builtins.isinstance}
   210531    0.306    0.000    2.249    0.000 <__array_function__ internals>:2(amax)
   187609    0.290    0.000    1.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\numeric.py:148(ones)
    26304    0.262    0.000    0.759    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:43(calc_ebal_sunsha)
   210696    0.255    0.000    0.656    0.000 <__array_function__ internals>:2(concatenate)
  2611283    0.243    0.000    0.243    0.000 {pandas._libs.lib.is_integer}
   210892    0.241    0.000    0.878    0.000 <__array_function__ internals>:2(dot)
   105216    0.235    0.000    2.204    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\nanfunctions.py:557(nansum)
   199816    0.235    0.000    0.262    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:229(esat)
   210493    0.232    0.000    0.232    0.000 {built-in method numpy.arange}
   210432    0.228    0.000    3.372    0.000 <__array_function__ internals>:2(hstack)
        1    0.227    0.227    0.237    0.237 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:15(sip_leaf)
   241244    0.218    0.000    0.634    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\PhotoSynth_Jen.py:200(calc_resp)
   210436    0.206    0.000    1.413    0.000 <__array_function__ internals>:2(atleast_1d)
  1302901    0.190    0.000    0.190    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:231(_should_fallback_to_positional)
        1    0.189    0.189   12.562   12.562 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:642(hemi_initial)
491275/491271    0.183    0.000    0.385    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_asarray.py:23(asarray)
   210434    0.179    0.000    0.319    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:219(_vhstack_dispatcher)
  1305126    0.172    0.000    0.172    0.000 {pandas._libs.lib.is_scalar}
    26304    0.171    0.000    0.472    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:37(calc_extinction_coeff)
