wavelength	RSR_412	RSR_443	RSR_469	RSR_488	RSR_531	RSR_551	RSR_555	RSR_645	RSR_667	RSR_678	RSR_748	RSR_859	RSR_869	RSR_1240	RSR_1640	RSR_2130
402	0.054437	8.66E-05	0	0.00042175	1.09E-05	0.00011163	0	0	1.42E-05	1.49E-05	6.95E-06	0	1.96E-05	0	0	0
403	0.20897	9.70E-05	0	0.00056069	1.06E-05	0.00010384	0	0	1.38E-05	1.46E-05	6.85E-06	0	2.04E-05	0	0	0
404	0.45905	0.00010735	0	0.00069964	1.03E-05	9.61E-05	0	0	1.35E-05	1.43E-05	6.76E-06	0	2.12E-05	0	0	0
405	0.59932	0.00011775	0	0.00083858	9.95E-06	8.83E-05	0	0	1.32E-05	1.40E-05	6.67E-06	0	2.20E-05	0	0	0
406	0.71409	0.00012814	0	0.00097752	9.63E-06	8.05E-05	0	0	1.28E-05	1.37E-05	6.57E-06	0	2.28E-05	0	0	0
407	0.67683	0.00013853	0	0.0011165	9.31E-06	7.27E-05	0	0	1.25E-05	1.34E-05	6.48E-06	0	2.36E-05	0	0	0
408	0.66852	0.00014892	0	0.0012554	8.99E-06	6.49E-05	0	0	1.21E-05	1.30E-05	6.38E-06	0	2.44E-05	0	0	0
409	0.72319	0.00015932	0	0.0013944	8.66E-06	5.71E-05	0	0	1.18E-05	1.27E-05	6.29E-06	0	2.52E-05	0	0	0
410	0.79013	0.00016971	0	0.0015333	8.34E-06	4.94E-05	0	0	1.14E-05	1.24E-05	6.20E-06	0	2.60E-05	0	0	0
411	0.76493	0.00021432	0	0.0017542	8.81E-06	5.16E-05	0	0	1.15E-05	1.25E-05	6.03E-06	0	2.50E-05	0	0	0
412	0.5502	0.00025894	0	0.0019752	9.27E-06	5.38E-05	0	0	1.16E-05	1.27E-05	5.87E-06	0	2.41E-05	0	0	0
413	0.4138	0.00030355	0	0.0021961	9.74E-06	5.60E-05	0	0	1.17E-05	1.28E-05	5.71E-06	0	2.32E-05	0	0	0
414	0.64524	0.00034817	0	0.0024171	1.02E-05	5.83E-05	0	0	1.19E-05	1.29E-05	5.55E-06	0	2.22E-05	0	0	0
415	0.8928	0.00039278	0	0.002638	1.07E-05	6.05E-05	0	0	1.20E-05	1.30E-05	5.38E-06	0	2.13E-05	0	0	0
416	0.9918	0.00043739	0	0.0028589	1.11E-05	6.27E-05	0	0	1.21E-05	1.32E-05	5.22E-06	0	2.03E-05	0	0	0
417	0.92738	0.00048201	0	0.0030799	1.16E-05	6.50E-05	0	0	1.22E-05	1.33E-05	5.06E-06	0	1.94E-05	0	0	0
418	0.71352	0.00052662	0	0.0033008	1.21E-05	6.72E-05	0	0	1.23E-05	1.34E-05	4.89E-06	0	1.85E-05	0	0	0
419	0.47553	0.00057124	0	0.0035218	1.25E-05	6.94E-05	0	0	1.24E-05	1.35E-05	4.73E-06	0	1.75E-05	0	0	0
420	0.24315	0.00061585	0	0.0037427	1.30E-05	7.17E-05	0	0	1.25E-05	1.37E-05	4.57E-06	0	1.66E-05	0	0	0
421	0.099055	0.00065525	0	0.0034774	1.23E-05	7.28E-05	0	0	1.24E-05	1.31E-05	4.43E-06	0	1.56E-05	0	0	0
422	0.050651	0.00069465	0	0.0032121	1.17E-05	7.40E-05	0	0	1.22E-05	1.26E-05	4.28E-06	0	1.47E-05	0	0	0
423	0.014788	0.00073404	0	0.0029468	1.11E-05	7.52E-05	0	0	1.21E-05	1.20E-05	4.14E-06	0	1.37E-05	0	0	0
424	0.0055545	0.00077344	0	0.0026815	1.04E-05	7.63E-05	0	0	1.20E-05	1.15E-05	4.00E-06	0	1.27E-05	0	0	0
425	0.0028651	0.00081284	0	0.0024161	9.77E-06	7.75E-05	0	0	1.19E-05	1.10E-05	3.86E-06	0	1.18E-05	0	0	0
426	0.0012598	0.00085224	0	0.0021508	9.12E-06	7.87E-05	0	0	1.17E-05	1.04E-05	3.72E-06	0	1.08E-05	0	0	0
427	0.00070046	0.00089163	0	0.0018855	8.48E-06	7.98E-05	0	0	1.16E-05	9.89E-06	3.57E-06	0	9.81E-06	0	0	0
428	0.00026673	0.00090337	0	0.0016202	7.83E-06	8.10E-05	0	0	1.15E-05	9.34E-06	3.43E-06	0	8.84E-06	0	0	0
429	0.00025118	0.00095	0	0.0013549	7.18E-06	8.22E-05	0	0	1.14E-05	8.80E-06	3.29E-06	0	7.87E-06	0	0	0
430	8.63E-05	0.0012759	0	0.0010896	6.54E-06	8.33E-05	0	0	1.13E-05	8.26E-06	3.15E-06	0	6.89E-06	0	0	0
431	9.33E-05	0.0019628	0	0.0010477	1.07E-05	7.90E-05	0	0	1.12E-05	8.60E-06	3.09E-06	0	6.92E-06	0	0	0
432	0.00011638	0.0048052	0	0.0010058	1.48E-05	7.46E-05	0	0	1.11E-05	8.93E-06	3.03E-06	0	6.94E-06	0	0	0
433	8.96E-05	0.010311	0	0.00096392	1.89E-05	7.03E-05	0	0	1.11E-05	9.27E-06	2.97E-06	0	6.97E-06	0	0	0
434	5.20E-05	0.039032	0	0.00092203	2.30E-05	6.60E-05	0	0	1.10E-05	9.61E-06	2.92E-06	0	7.00E-06	0	0	0
435	7.27E-05	0.11465	0	0.00088014	2.71E-05	6.16E-05	0	0	1.09E-05	9.94E-06	2.86E-06	0	7.02E-06	0	0	0
436	9.58E-05	0.26366	0	0.00083825	3.12E-05	5.73E-05	0	0	1.09E-05	1.03E-05	2.80E-06	0	7.05E-06	0	0	0
437	0.00010773	0.45352	0	0.00079636	3.53E-05	5.30E-05	0	0	1.08E-05	1.06E-05	2.74E-06	0	7.07E-06	0	0	0
438	0.00011705	0.60258	0	0.00075446	3.94E-05	4.86E-05	0	0	1.08E-05	1.09E-05	2.69E-06	0	7.10E-06	0	0	0
439	0.00012636	0.77639	0	0.00071257	4.36E-05	4.43E-05	0	0	1.07E-05	1.13E-05	2.63E-06	0	7.12E-06	0	0	0
440	0.00013568	0.94626	0	0.00067068	4.77E-05	4.00E-05	0	0	1.06E-05	1.16E-05	2.57E-06	0	7.15E-06	0	0	0
