wl	t1	t3	t4	t5	t12	t16
482	488.5344633	0.189314628	0.451679163	0.345270465	0.085509395	2.13E-35
483	476.0586937	0.188866372	0.453680512	0.345302233	0.085684907	2.61E-35
484	465.6969298	0.188279581	0.455497186	0.345141884	0.085760674	3.19E-35
485	469.3488595	0.187288476	0.456681238	0.344372286	0.085531262	3.89E-35
486	367.5982002	0.186837405	0.458398143	0.344197429	0.085646	4.73E-35
487	413.6401379	0.186103628	0.459875535	0.34374814	0.085584465	5.77E-35
488	457.8600826	0.185393071	0.461216214	0.343195238	0.08550631	7.04E-35
489	429.0449263	0.184647	0.461845463	0.342103146	0.085278439	8.55E-35
490	482.2197064	0.184039881	0.463401095	0.341778238	0.085284333	1.04E-34
491	463.585319	0.183428595	0.465010143	0.341457119	0.085296048	1.26E-34
492	437.2958322	0.182776537	0.466319829	0.340920732	0.085232366	1.53E-34
493	464.6871129	0.182080854	0.467455878	0.340255854	0.085114707	1.86E-34
494	448.9292395	0.181392878	0.468482951	0.339507512	0.084979439	2.25E-34
495	478.1313541	0.180717317	0.469624268	0.338838244	0.084869073	2.72E-34
496	455.6894348	0.180015225	0.470707425	0.33815795	0.08473445	3.29E-34
497	463.3831332	0.179345171	0.471709805	0.337418732	0.084598878	3.98E-34
498	452.821885	0.178673925	0.47296085	0.336861875	0.084505775	4.81E-34
499	450.1678598	0.1778893	0.47380315	0.335992975	0.084284475	5.79E-34
500	450.1495625	0.177131525	0.47449635	0.33501335	0.084048325	6.98E-34
501	432.2106755	0.17625695	0.474871625	0.33379405	0.08369955	8.42E-34
502	423.3734178	0.174850875	0.47458165	0.331906025	0.082982675	1.01E-33
503	456.7443323	0.173316475	0.473988475	0.32979515	0.08215675	1.22E-33
504	427.3381923	0.167811154	0.468136462	0.322684744	0.078607231	1.47E-33
505	452.8582028	0.171940513	0.475409487	0.328004513	0.081750923	1.76E-33
506	477.7319149	0.170458333	0.475460513	0.326400513	0.08107041	2.12E-33
507	448.1237885	0.16945559	0.476271051	0.325492821	0.080732718	2.54E-33
508	436.1923069	0.169715436	0.478896949	0.326267154	0.081292974	3.05E-33
509	463.8967216	0.169544605	0.480828974	0.326407605	0.081531289	3.64E-33
510	447.9400808	0.169409051	0.482711795	0.326519179	0.081780026	4.36E-33
511	445.5356671	0.169651342	0.485118132	0.327136789	0.082301632	5.22E-33
512	464.491885	0.169315	0.486567368	0.326894974	0.082383263	6.23E-33
513	434.5799034	0.168905079	0.487835526	0.326499553	0.082397895	7.44E-33
514	421.8549371	0.168373711	0.489025579	0.326017711	0.082339	8.88E-33
515	436.4374874	0.167800553	0.490050868	0.325403263	0.082230842	1.06E-32
516	443.7925724	0.167210162	0.491035459	0.324779297	0.082106108	1.26E-32
517	345.5808147	0.166616579	0.492044974	0.324175263	0.081982868	1.50E-32
518	421.2824197	0.166017676	0.492895162	0.323466378	0.081829243	1.79E-32
519	394.3228808	0.165407081	0.493645378	0.322688811	0.081652405	2.13E-32
520	440.1819286	0.164833243	0.494541838	0.321846135	0.081516838	2.53E-32
521	427.3190716	0.164225784	0.495389811	0.321340946	0.081355757	3.01E-32
522	443.2135781	0.163597973	0.496123	0.320567595	0.081164622	3.57E-32
523	409.4344631	0.162944944	0.496591639	0.319604944	0.080917083	4.23E-32
524	450.9690105	0.162008811	0.496688649	0.318319946	0.080468216	5.02E-32
525	445.3107328	0.161365	0.496894028	0.31721625	0.080181583	5.95E-32
526	441.9241036	0.161037083	0.497575167	0.316533222	0.080127972	7.03E-32
527	379.5037175	0.160176528	0.497702083	0.315248889	0.079720556	8.32E-32
528	437.0384247	0.159737333	0.498384194	0.314620361	0.079610611	9.83E-32
529	454.6741947	0.159058944	0.498751083	0.313626667	0.079331	1.16E-31
530	434.2232683	0.158458886	0.499265029	0.312772971	0.079112943	1.37E-31
531	463.9175503	0.157915889	0.49989175	0.312013611	0.078940861	1.62E-31
532	451.492918	0.157434914	0.500659114	0.311364171	0.078821171	1.91E-31
533	407.8132926	0.156915	0.501518371	0.310774943	0.078695686	2.25E-31
534	441.15072	0.156488743	0.502685743	0.310404857	0.078664543	2.64E-31
535	441.3056569	0.156050257	0.503928457	0.310082286	0.078638086	3.11E-31
536	458.8997063	0.155623829	0.505215143	0.309801429	0.078623429	3.66E-31
537	420.8288203	0.1551366	0.506293286	0.309360514	0.078544543	4.31E-31
538	445.2071141	0.154607824	0.507128441	0.308770676	0.078405971	5.06E-31
539	437.7075946	0.153955086	0.507698714	0.3079846	0.078162914	5.94E-31
540	432.3748535	0.153053235	0.507971588	0.3069215	0.0777475	6.97E-31
541	410.1915618	0.151373559	0.506869941	0.304781029	0.076734147	8.17E-31
542	440.3087091	0.150749206	0.507083676	0.303795088	0.076451265	9.57E-31
543	425.7246129	0.151405324	0.509529176	0.304604765	0.077146676	1.12E-30
544	442.4344944	0.149983471	0.508727853	0.302728206	0.076306647	1.31E-30
545	435.6709603	0.150144176	0.510414088	0.302898882	0.076638618	1.54E-30
546	429.6103582	0.148803667	0.509762	0.301193545	0.075862424	1.80E-30
547	442.7925938	0.149161412	0.511897235	0.301724529	0.076357941	2.10E-30
548	417.2142958	0.149200394	0.513395545	0.301731152	0.07660003	2.45E-30
549	442.1610627	0.148912273	0.514465636	0.301398606	0.076610636	2.86E-30
550	432.7002779	0.148415636	0.515354667	0.300819303	0.076487182	3.33E-30
551	429.0136448	0.148124152	0.516587848	0.300708061	0.076519303	3.88E-30
552	440.7188148	0.147752515	0.517578818	0.299869636	0.076473636	4.53E-30
553	425.4985494	0.147302303	0.518376909	0.299156636	0.076358303	5.28E-30
554	434.2765028	0.146862313	0.519228281	0.298487906	0.076255094	6.14E-30
555	440.8124873	0.146359788	0.519987394	0.297761152	0.076105242	7.14E-30
556	431.3050963	0.145867063	0.520639313	0.296949719	0.075944063	8.30E-30
557	413.6794506	0.14535475	0.521140156	0.296071781	0.075750156	9.63E-30
558	430.87253	0.144830344	0.52156475	0.295145	0.075538438	1.12E-29
559	406.1944788	0.144275969	0.52190375	0.294157969	0.075298188	1.30E-29
560	404.5321103	0.143694031	0.522131594	0.293099938	0.075027125	1.50E-29
561	441.6024569	0.14312825	0.522314969	0.292040375	0.074757969	1.74E-29
562	413.77174	0.14256675	0.522500125	0.290975875	0.074491125	2.02E-29
563	424.2016694	0.141981	0.522587806	0.289860935	0.074197452	2.34E-29
564	417.8977003	0.141397719	0.522717656	0.288779406	0.073911063	2.71E-29
565	427.1926074	0.140786032	0.522952935	0.287740194	0.073624516	3.13E-29
566	403.4396558	0.140115355	0.523174968	0.286710032	0.073304839	3.62E-29
567	425.9379906	0.139270548	0.522992	0.285381968	0.072837581	4.18E-29
568	422.9030952	0.137527742	0.521134097	0.282890935	0.071675065	4.82E-29
569	416.8590677	0.134160903	0.515605774	0.277818065	0.069220258	5.57E-29
570	419.9580397	0.134477097	0.517670516	0.278125419	0.069638839	6.43E-29
571	399.4082687	0.135738677	0.521393871	0.279570194	0.070776645	7.43E-29
572	426.016872	0.133437033	0.518279533	0.276271933	0.069182	8.55E-29
573	428.1793294	0.133049258	0.519055161	0.275695742	0.069080968	9.85E-29
574	429.1920727	0.132625667	0.5196345	0.274989367	0.0689324	1.13E-28
575	421.608017	0.131768267	0.519696933	0.273857967	0.068492967	1.30E-28
576	412.5448147	0.131690767	0.521316133	0.273812067	0.068656367	1.50E-28
577	427.8021127	0.131215967	0.5222869	0.273322833	0.068538033	1.72E-28
578	414.5060023	0.131556167	0.524795133	0.2738848	0.069040933	1.98E-28
579	410.475612	0.131849233	0.527402167	0.274508467	0.0695379	2.27E-28
580	421.8739963	0.1320275	0.530112767	0.2751392	0.069989967	2.61E-28
581	416.229791	0.132299567	0.533090667	0.275938033	0.070528033	3.00E-28
582	419.1078497	0.132381552	0.535570379	0.276420621	0.070899897	3.44E-28
583	423.0215193	0.1324246	0.537824967	0.2767665	0.0712215	3.94E-28
584	420.8223666	0.132178483	0.539421966	0.276661	0.071300655	4.52E-28
585	417.7375062	0.13190569	0.540786172	0.276441759	0.071334931	5.17E-28
586	400.5238903	0.13119231	0.541215241	0.275573069	0.07101	5.91E-28
587	416.8201666	0.129629759	0.540042138	0.273643828	0.070017966	6.76E-28
588	418.0170324	0.123932138	0.529714586	0.26559031	0.065740655	7.73E-28
589	376.4160621	0.116363276	0.509196276	0.251904034	0.059534138	8.84E-28
590	388.423079	0.116597379	0.511734552	0.252524724	0.059935655	1.01E-27
591	413.1326518	0.119191821	0.522333	0.2579525	0.062415964	1.15E-27
592	407.9993562	0.11770031	0.516604483	0.253961793	0.061138828	1.32E-27
593	408.5165657	0.120219893	0.524238679	0.257801857	0.063321536	1.50E-27
594	409.73819	0.119550069	0.523804069	0.256614793	0.063014966	1.71E-27
595	403.7994643	0.116806107	0.519512107	0.252547821	0.060932214	1.95E-27
596	409.3477211	0.121135321	0.532188107	0.259685929	0.064619393	2.22E-27
597	411.4712354	0.120657429	0.5323475	0.258790107	0.0644215	2.53E-27
598	404.9219807	0.12204275	0.537241679	0.2609105	0.065660036	2.88E-27
599	398.201745	0.122890821	0.540929643	0.2621995	0.06653325	3.28E-27
600	401.1411332	0.124298429	0.545760786	0.264220536	0.067861357	3.73E-27
601	398.8479533	0.125493815	0.549631815	0.265791519	0.068979407	4.24E-27
602	390.0053236	0.125491571	0.550984179	0.265672393	0.069152857	4.81E-27
603	398.5365956	0.125622963	0.552894815	0.265872222	0.06945737	5.46E-27
604	403.5906975	0.1257825	0.554914536	0.266138679	0.069798571	6.20E-27
605	404.8429611	0.125487667	0.556082778	0.265831704	0.069781593	7.04E-27
606	399.0066333	0.125231519	0.557400481	0.265614481	0.069804111	7.98E-27
607	399.7940364	0.124946214	0.558797357	0.265421179	0.069819643	9.06E-27
608	395.7817104	0.12461637	0.560155556	0.265189259	0.069804519	1.03E-26
609	392.685957	0.124288889	0.561560333	0.264998333	0.069795741	1.16E-26
610	387.5113604	0.123951462	0.562913154	0.2647855	0.069773962	1.32E-26
611	392.4764704	0.123629148	0.564247704	0.264568296	0.069757444	1.16E-27
612	386.4690304	0.12327437	0.565522593	0.264306852	0.069714333	1.53E-28
613	391.2097063	0.122900037	0.566811111	0.264047148	0.069661074	1.73E-28
614	374.9375377	0.122535846	0.568077231	0.263778577	0.069609808	1.96E-28
615	390.0263352	0.122190148	0.569280259	0.263464741	0.069560407	1.73E-28
616	371.07084	0.121814423	0.570391885	0.263121731	0.069481923	1.60E-28
617	373.3413677	0.121447962	0.571439231	0.262759423	0.069400154	1.81E-28
618	384.6079458	0.121043231	0.572481615	0.262401577	0.069294962	2.05E-28
619	380.5609488	0.120657308	0.573422654	0.261963692	0.069187577	8.15E-27
620	388.3747673	0.120225769	0.574206577	0.261466423	0.069034346	4.45E-26
621	391.6557108	0.119784077	0.574926808	0.260926615	0.068867077	5.02E-26
622	377.1115392	0.119321423	0.575612	0.2603585	0.068682885	5.65E-26
623	375.7632454	0.118817154	0.576147115	0.2597145	0.068456192	6.37E-26
624	381.1445577	0.118286808	0.576641385	0.259051	0.068209038	7.18E-26
625	370.2327448	0.11770764	0.5769402	0.25826484	0.06791028	8.08E-26
626	370.6924788	0.116899115	0.576781308	0.257218	0.067426385	9.09E-26
627	380.5019828	0.11528908	0.5748846	0.25515368	0.06628616	8.57E-26
628	380.5059169	0.110821308	0.550986538	0.242323692	0.061221192	5.79E-26
629	382.237964	0.11255332	0.5663966	0.2488972	0.06378704	7.81E-26
630	370.9049548	0.11334744	0.56818612	0.24945008	0.06444496	1.17E-25
631	380.1425408	0.11422568	0.57619208	0.25271788	0.06583108	1.56E-25
632	363.0842424	0.11272392	0.57627328	0.25145412	0.06499456	1.18E-25
633	378.933404	0.11354168	0.58110292	0.25310844	0.06599836	1.73E-25
634	368.1809744	0.1139256	0.58430224	0.25408928	0.06657364	2.20E-25
635	373.922648	0.11384512	0.58624804	0.25425992	0.06675212	2.37E-25
636	365.7798132	0.11394844	0.58866788	0.25467064	0.06708212	2.89E-25
637	373.1211408	0.113864833	0.590514167	0.2547945	0.067243167	2.97E-25
638	374.8906584	0.1141482	0.59320928	0.25539856	0.06771456	3.63E-25
639	375.0659283	0.113984083	0.594810875	0.255361917	0.067799583	4.06E-25
640	360.7659388	0.11381368	0.5964294	0.25535184	0.0678826	4.54E-25
641	362.2472717	0.113649667	0.597972167	0.255302292	0.067960333	5.08E-25
642	361.4207833	0.113570417	0.599601125	0.255325792	0.068098	5.68E-25
643	367.1085188	0.112986375	0.599961208	0.254631458	0.067792833	6.34E-25
644	365.052932	0.11284288	0.60159716	0.2546108	0.06788844	7.10E-25
645	364.4615671	0.111826125	0.60098575	0.253352333	0.067210458	7.94E-25
646	357.3220229	0.108890375	0.594979167	0.249106625	0.064837042	6.69E-25
647	364.4330013	0.105004478	0.584772087	0.242766391	0.061537348	4.89E-25
648	364.0266525	0.1026445	0.573931458	0.237075292	0.059191542	4.00E-25
649	366.4173929	0.102285958	0.574661	0.236643542	0.059131333	4.48E-25
650	341.5863408	0.107620667	0.595975292	0.246703375	0.064298708	1.10E-24
651	365.8595378	0.107975478	0.600238348	0.247867391	0.064899043	1.14E-24
652	360.11984	0.101930375	0.5785725	0.236262083	0.05932725	5.55E-25
653	360.3983204	0.107404478	0.599984826	0.246445087	0.064607739	1.67E-24
654	360.5531196	0.107292417	0.6039255	0.247251625	0.064881667	1.69E-24
655	352.579507	0.104335435	0.591184565	0.240667696	0.061993435	1.37E-24
656	299.1247461	0.105805087	0.602688522	0.245060348	0.063837609	1.95E-24
657	314.836793	0.105324565	0.602021087	0.244020522	0.063561739	2.43E-24
658	349.7958583	0.107259522	0.608793217	0.246891348	0.065401217	2.96E-24
659	350.5493126	0.107308348	0.612534826	0.247764478	0.065782609	3.30E-24
660	350.4891678	0.107601739	0.615213391	0.248374261	0.066217391	3.82E-24
661	352.2358278	0.108540826	0.619547565	0.249825087	0.067251609	4.24E-24
662	356.6046474	0.108871565	0.622030522	0.250340043	0.067721826	4.71E-24
663	353.984487	0.108484478	0.622635913	0.249818391	0.067547957	4.31E-24
664	348.4158383	0.108377391	0.624009391	0.249725739	0.067629478	5.06E-24
665	351.3612927	0.108231818	0.625197	0.249531909	0.067666955	6.14E-24
666	352.7894474	0.108059217	0.626389087	0.249312696	0.067687478	6.53E-24
667	348.6120114	0.107911182	0.627609409	0.249192091	0.067726409	4.20E-24
668	348.062853	0.107834	0.628999261	0.249106826	0.067827435	3.25E-24
669	353.10801	0.107524091	0.629855	0.248737682	0.067724727	5.15E-24
670	348.7433355	0.107364864	0.631048182	0.248581636	0.067752409	3.73E-24
671	346.9781768	0.107122727	0.632044045	0.248325682	0.067706318	3.45E-24
672	340.0523709	0.106897217	0.633061174	0.248029043	0.067672391	1.93E-24
673	346.4332268	0.106675727	0.634037091	0.247721636	0.067636455	2.16E-24
674	345.6003341	0.106428955	0.634996	0.247428318	0.067581955	3.24E-24
675	342.1853995	0.106188636	0.635925091	0.247120591	0.067527909	2.64E-24
676	345.6834995	0.105948318	0.636836273	0.246804091	0.067471727	3.91E-24
677	340.8147129	0.105713905	0.637712381	0.246496857	0.067415	6.76E-24
678	345.2717445	0.105479091	0.638617909	0.246188682	0.067360773	3.59E-24
679	341.7690059	0.105203955	0.639426136	0.245821727	0.067270273	1.40E-23
680	340.4042433	0.104931619	0.640142238	0.24541519	0.067171238	1.33E-23
681	339.1287214	0.104637	0.640807864	0.245000318	0.067052273	2.16E-23
682	339.8379357	0.104285571	0.641357714	0.244521143	0.066884524	2.69E-23
683	339.3097614	0.103889	0.641722727	0.243955364	0.066668545	3.58E-23
684	331.0582205	0.103597381	0.642394667	0.243535952	0.066550905	3.73E-23
685	336.5811245	0.103474136	0.643476227	0.243339	0.0665835	4.13E-23
686	330.0984886	0.102994286	0.643578381	0.242623667	0.066286048	5.57E-23
687	337.5242181	0.084683524	0.472529952	0.175191286	0.04216419	2.51E-23
688	333.2215224	0.090766048	0.532248952	0.198153476	0.049463905	2.19E-23
689	336.37085	0.091367905	0.542996095	0.201316476	0.050560333	1.95E-23
690	334.1630281	0.091858143	0.554890714	0.205181095	0.052249714	2.59E-23
691	333.9616719	0.094622381	0.588639095	0.217269714	0.056358952	4.48E-23
692	329.10147	0.09448381	0.602082524	0.221364952	0.057212095	3.96E-23
693	329.6362933	0.088199048	0.58555619	0.212195571	0.052255762	3.01E-23
694	331.9936848	0.084113381	0.565283524	0.203175	0.048395667	6.92E-24
695	327.226575	0.08863765	0.59651685	0.21458465	0.05353955	5.87E-24
696	329.947949	0.088281	0.589946095	0.213175571	0.053136238	1.35E-23
697	329.5556133	0.096287095	0.638055429	0.231939476	0.061565762	1.09E-22
698	319.51144	0.0956151	0.6370146	0.23078975	0.06104985	1.07E-22
699	327.985299	0.089433667	0.607555333	0.217405524	0.054782048	2.50E-23
700	325.1017325	0.08893915	0.6078586	0.2169977	0.0547751	3.90E-23
701	318.1329105	0.08661485	0.60346765	0.21385025	0.05283875	1.05E-23
702	317.2997105	0.088647429	0.614504952	0.217805714	0.054856714	1.02E-23
703	319.8012795	0.08922525	0.6118847	0.21679755	0.0552828	9.57E-23
704	319.681323	0.09163	0.6277912	0.2225075	0.05807735	1.43E-22
705	323.6356165	0.08965495	0.6270186	0.22064405	0.05655145	7.56E-23
706	320.2363895	0.09170595	0.63817235	0.22467285	0.05861035	6.39E-23
707	318.6389645	0.0916628	0.63948245	0.22457465	0.05871445	1.11E-22
708	322.800864	0.090923	0.63985815	0.223811	0.05828425	1.65E-22
709	313.113594	0.09349205	0.6498267	0.22770545	0.0608722	2.94E-22
710	318.316542	0.0917767	0.6469567	0.2253634	0.0593991	1.15E-22
711	316.152017	0.0924735	0.65035915	0.2262582	0.0601879	2.97E-22
712	312.1638311	0.093229474	0.653584579	0.227083421	0.060986737	4.40E-22
713	312.718759	0.09216475	0.6524583	0.22570355	0.06016835	3.52E-22
714	315.130373	0.0915721	0.65021705	0.2240845	0.05963885	3.51E-22
715	308.8488868	0.088335526	0.639782842	0.218727316	0.056697105	1.10E-22
716	313.8818585	0.08679935	0.6352131	0.21599515	0.0553057	3.32E-23
717	307.4964758	0.069036368	0.525104105	0.173362474	0.037387526	8.62E-23
718	307.8881705	0.06307915	0.4867701	0.1578138	0.03269965	1.08E-22
719	304.0124811	0.056582947	0.445108684	0.142633158	0.028757737	1.46E-22
720	304.0541558	0.059267526	0.456156632	0.147142105	0.028968316	1.40E-22
721	303.8283442	0.069092579	0.532934211	0.173948105	0.038603263	1.11E-22
722	305.026322	0.0819965	0.62091785	0.20634025	0.0513124	6.99E-23
723	305.1626395	0.073781526	0.559728789	0.184027421	0.043237632	1.12E-22
724	305.9089753	0.064483263	0.509306737	0.164127895	0.035587105	1.70E-22
725	304.5031821	0.064389632	0.501821789	0.160643263	0.034215579	1.87E-22
726	303.5286205	0.067670474	0.528076684	0.169624211	0.036990947	1.86E-22
727	305.7648953	0.068620368	0.533302316	0.172197842	0.038687053	1.87E-22
728	301.5429621	0.062720895	0.507866316	0.160937105	0.033810105	2.67E-22
729	294.7032367	0.068804111	0.540202	0.172334833	0.039076111	2.29E-22
730	300.2129895	0.070798895	0.564822526	0.179957053	0.040754579	2.34E-22
731	298.2817116	0.066083842	0.530951158	0.168174632	0.036603947	2.91E-22
732	301.9906847	0.074302053	0.583155211	0.187058474	0.044575105	2.31E-22
733	296.4929983	0.080194889	0.623877333	0.201231111	0.050711722	1.86E-22
734	302.3214089	0.082763895	0.635825632	0.205371789	0.053209526	1.67E-22
735	297.9088139	0.080862389	0.630074222	0.202119778	0.051546833	2.09E-22
736	295.1959321	0.080363895	0.637088368	0.203218789	0.051402632	2.23E-22
737	297.98987	0.0806725	0.633396056	0.2019625	0.051513444	2.42E-22
738	296.0332426	0.083651368	0.657908368	0.210246789	0.055173105	2.00E-22
739	287.6010344	0.084225278	0.655036556	0.209109	0.055403556	9.24E-22
740	290.8498	0.085968278	0.667875222	0.213293333	0.057558556	2.13E-21
741	287.65703	0.087092167	0.674051056	0.215183222	0.058755278	3.55E-21
742	286.0185222	0.088186778	0.679870778	0.216923167	0.05998	5.69E-21
743	291.4524253	0.088267895	0.681407368	0.216896526	0.060169632	7.78E-21
744	292.0577756	0.088893222	0.685069944	0.217769167	0.060902278	9.40E-21
745	288.6009539	0.089348056	0.687668778	0.218195889	0.061442556	1.02E-20
746	290.1738222	0.089085444	0.688074167	0.217695444	0.061298722	1.17E-20
747	292.9769289	0.089071889	0.689267222	0.217555667	0.061394944	1.27E-20
748	289.5330435	0.088995529	0.690248647	0.217308412	0.061429294	1.38E-20
749	289.7902406	0.088918556	0.691254167	0.217058389	0.061465444	1.49E-20
750	285.4450467	0.088637389	0.691734111	0.216574389	0.061313611	1.62E-20
751	282.5207167	0.088474833	0.692617278	0.216254667	0.061279278	1.76E-20
752	289.6749353	0.088314706	0.693470059	0.215964529	0.061243706	1.90E-20
753	281.9133006	0.088170833	0.6944305	0.215702111	0.061228389	2.06E-20
754	288.5130544	0.087970556	0.695100778	0.215275611	0.0611485	2.24E-20
755	286.1019506	0.087779824	0.695891882	0.214951	0.061085294	2.42E-20
756	283.1421456	0.087572	0.696596389	0.214578167	0.061002389	2.62E-20
757	284.5484794	0.087388176	0.697300059	0.214211412	0.060935882	2.84E-20
758	284.8065617	0.087123556	0.697697667	0.213719611	0.060786	3.07E-20
