site_id       plot_id       grid_id       latitude      long          elev          slope         aspect        area          lat_c                 lon_c                 northing      easting       estbl_by                  tree_ht       sitedesc
.             " "           "129,2"       .             .             1480          5             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "130,1"       .             .             1440          5             18            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "130,1"       .             .             1400          9             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "131,1"       .             .             1440          25            180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "133,3"       .             .             1410          8             18            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "134,8"       .             .             1460          5             100           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "135,4"       .             .             1355          10            310           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "136,7"       .             .             1490          6             240           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "137,5"       .             .             1420          15            100           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "142,5"       .             .             1360          2             300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "143,3"       .             .             1400          10            340           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "143,3"       .             .             1360          5             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "144,1"       .             .             1500          7             90            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "146,8"       .             .             1360          5             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "147,6"       .             .             1380          2             20            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "147,7"       .             .             1360          14            120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "147,8"       .             .             1380          12            110           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "148,7"       .             .             1400          10            360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "149,6"       .             .             1400          3             60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "151,9"       .             .             1380          5             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "154,1"       .             .             1380          3             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "157,1"       .             .             1350          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "159,1"       .             .             1360          1             90            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "160,1"       .             .             1320          11            320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "161,1"       .             .             1360          5             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "161,1"       .             .             1380          2             360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "166,1"       .             .             1470          3             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "167,7"       .             .             1440          5             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "171,8"       .             .             1350          3             360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "172,8"       .             .             1360          8             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "174,8"       .             .             1360          2             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "178,7"       .             .             1385          1             360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "210,5"       .             .             1300          5             50            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "213,5"       .             .             1240          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "214,7"       .             .             1420          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "218,3"       .             .             1340          10            270           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "218,6"       .             .             1430          10            220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "218,7"       .             .             1430          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "220,7"       .             .             1320          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "221,1"       .             .             1420          7             95            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "223,1"       .             .             1350          7             45            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "229,2"       .             .             1480          5             40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "230,1"       .             .             1440          10            260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
